COMID,terminal_COMID
1735746,1737140
1735744,1737140
1736588,1737140
1735754,1737140
1735732,1737140
1735724,1737140
1735698,1737140
1735680,1737140
1735676,1737140
1735642,1737140
1735632,1737140
1735630,1737140
1737644,1737140
1735618,1737140
1737640,1737140
1737636,1737140
1734766,1737140
1737626,1737140
1734734,1737140
1734720,1737140
1734722,1737140
1734708,1737140
1734694,1737140
1734902,1737140
1734738,1737140
1734742,1737140
1737632,1737140
1738006,1737140
1738008,1737140
1737658,1737140
1737656,1737140
1737648,1737140
1737652,1737140
1737664,1737140
1743086,1737140
1736936,1737140
1743088,1737140
1736644,1737140
1735938,1737140
1736626,1737140
1736628,1737140
1736634,1737140
1735904,1737140
1735874,1737140
1735870,1737140
1735844,1737140
1735812,1737140
1743032,1737140
1737700,1737140
1735838,1737140
1737688,1737140
1737686,1737140
1737682,1737140
1737674,1737140
1737670,1737140
1736648,1737140
1735990,1737140
1736004,1737140
1736028,1737140
1737756,1737140
1736030,1737140
1738056,1737140
1737758,1737140
1737760,1737140
1738076,1737140
1737120,1737140
1743102,1737140
1737122,1737140
1736162,1737140
1737060,1737140
1736128,1737140
1736134,1737140
1736132,1737140
1736122,1737140
1736136,1737140
1736148,1737140
1736670,1737140
1736174,1737140
1736176,1737140
1737126,1737140
1736196,1737140
1736220,1737140
1736218,1737140
1737842,1737140
1736222,1737140
1737826,1737140
1737798,1737140
1737808,1737140
1737830,1737140
1737812,1737140
1737814,1737140
1738066,1737140
1737778,1737140
1738080,1737140
1736230,1737140
1736254,1737140
1736262,1737140
1737862,1737140
1743036,1737140
1738036,1737140
1737854,1737140
1738040,1737140
1737876,1737140
1737882,1737140
1737888,1737140
1737894,1737140
1737906,1737140
1737912,1737140
1737926,1737140
1737930,1737140
1743104,1737140
1737132,1737140
1737158,1737140
1736298,1737140
1737160,1737140
1737156,1737140
1736330,1737140
1736332,1737140
1736340,1737140
1736342,1737140
1737198,1737140
1736586,1737140
1735662,1737140
1733428,1737140
1732304,1737140
1734648,1737140
1734716,1737140
1737788,1737140
1737790,1737140
1737784,1737140
1737766,1737140
1737764,1737140
1734058,1737140
1732436,1737140
1736990,1737140
1743092,1737140
1736016,1737140
1736656,1737140
1736062,1737140
1736090,1737140
1736092,1737140
1737624,1737140
1737634,1737140
1734770,1737140
1734772,1737140
1734760,1737140
1734732,1737140
1734728,1737140
1734712,1737140
1734702,1737140
1734686,1737140
1734630,1737140
1734674,1737140
1737890,1737140
1737896,1737140
1737908,1737140
1737924,1737140
1735862,1737140
1743078,1737140
1736864,1737140
1735896,1737140
1735898,1737140
1736632,1737140
1736638,1737140
1735954,1737140
1735914,1737140
1736878,1737140
1735934,1737140
1735946,1737140
1732768,1737140
1732716,1737140
1732778,1737140
1735798,1737140
1735800,1737140
1736604,1737140
1735722,1737140
1736576,1737140
1736574,1737140
1735654,1737140
1735644,1737140
1736178,1737140
1736194,1737140
1736264,1737140
1736206,1737140
1735804,1737140
1736832,1737140
1735802,1737140
1735808,1737140
1735872,1737140
1735850,1737140
1736870,1737140
1735848,1737140
1736618,1737140
1736608,1737140
1737816,1737140
1737840,1737140
1737846,1737140
1737844,1737140
1737836,1737140
1738070,1737140
1737820,1737140
1732480,1737140
1734086,1737140
1732434,1737140
1732340,1737140
1732928,1737140
1735560,1737140
1732870,1737140
1734268,1737140
1735936,1737140
1735918,1737140
1737916,1737140
1738042,1737140
1738044,1737140
1736570,1737140
1736568,1737140
1735684,1737140
1737168,1737140
1735922,1737140
1736908,1737140
1736622,1737140
1735856,1737140
1734054,1737140
1734056,1737140
1733526,1737140
1732846,1737140
1732852,1737140
1735690,1737140
1735960,1737140
1739546,1737140
1736352,1737140
1737164,1737140
1743108,1737140
1737166,1737140
1736382,1737140
1736388,1737140
1736296,1737140
1736294,1737140
1736320,1737140
1736378,1737140
1736386,1737140
1736394,1737140
1736256,1737140
1743106,1737140
1737138,1737140
1736120,1737140
1737192,1737140
1736664,1737140
1736138,1737140
1736094,1737140
1736150,1737140
1736112,1737140
1736668,1737140
1736110,1737140
1736108,1737140
1737770,1737140
1737772,1737140
1737774,1737140
1736212,1737140
1737786,1737140
1738064,1737140
1737782,1737140
1737762,1737140
1737780,1737140
1737804,1737140
1737806,1737140
1737810,1737140
1738068,1737140
1737800,1737140
1737828,1737140
1737796,1737140
1737794,1737140
1737818,1737140
1737848,1737140
1737824,1737140
1737858,1737140
1737822,1737140
1737834,1737140
1736258,1737140
1737852,1737140
1738096,1737140
1737850,1737140
1737874,1737140
1737870,1737140
1737872,1737140
1737884,1737140
1737886,1737140
1737868,1737140
1737904,1737140
1737864,1737140
1737866,1737140
1737914,1737140
1737928,1737140
1737932,1737140
1737910,1737140
1738038,1737140
1738072,1737140
1737880,1737140
1737892,1737140
1738046,1737140
1738082,1737140
1737920,1737140
1736274,1737140
1736260,1737140
1736276,1737140
1736272,1737140
1736200,1737140
1736236,1737140
1737142,1737140
1736280,1737140
1736224,1737140
1736098,1737140
1737034,1737140
1736076,1737140
1743096,1737140
1737024,1737140
1736046,1737140
1737006,1737140
1736652,1737140
1736058,1737140
1736060,1737140
1736068,1737140
1736958,1737140
1743090,1737140
1735962,1737140
1735920,1737140
1735854,1737140
1735992,1737140
1738078,1737140
1737768,1737140
1736078,1737140
1736044,1737140
1735970,1737140
1736024,1737140
1735998,1737140
1735912,1737140
1736928,1737140
1736636,1737140
1736962,1737140
1735982,1737140
1736650,1737140
1735868,1737140
1735830,1737140
1736596,1737140
1735842,1737140
1735794,1737140
1735836,1737140
1737684,1737140
1737672,1737140
1737676,1737140
1738012,1737140
1737678,1737140
1737680,1737140
1737690,1737140
1737692,1737140
1737698,1737140
1735852,1737140
1735892,1737140
1737730,1737140
1735900,1737140
1738034,1737140
1737744,1737140
1737728,1737140
1737724,1737140
1737720,1737140
1737696,1737140
1737694,1737140
1737722,1737140
1738020,1737140
1737712,1737140
1737710,1737140
1738052,1737140
1737716,1737140
1738024,1737140
1737718,1737140
1737708,1737140
1737706,1737140
1738018,1737140
1738016,1737140
1738014,1737140
1738022,1737140
1737732,1737140
1737734,1737140
1738026,1737140
1737726,1737140
1738032,1737140
1737746,1737140
1737736,1737140
1738030,1737140
1737740,1737140
1737738,1737140
1738028,1737140
1737742,1737140
1737748,1737140
1737750,1737140
1737752,1737140
1737754,1737140
1735906,1737140
1735902,1737140
1737182,1737140
1736646,1737140
1735948,1737140
1737256,1737140
1735932,1737140
1735924,1737140
1743084,1737140
1736900,1737140
1736906,1737140
1736898,1737140
1736902,1737140
1735752,1737140
1735780,1737140
1735766,1737140
1735758,1737140
1735742,1737140
1735736,1737140
1735738,1737140
1735714,1737140
1736566,1737140
1735652,1737140
1736564,1737140
1735696,1737140
1735674,1737140
1735640,1737140
1735616,1737140
1737280,1737140
1735588,1737140
1735590,1737140
1734758,1737140
1734764,1737140
1734744,1737140
1734730,1737140
1734700,1737140
1734654,1737140
1734624,1737140
1734656,1737140
1734672,1737140
1734688,1737140
1734714,1737140
1734638,1737140
1734900,1737140
1734696,1737140
1734632,1737140
1734684,1737140
1734682,1737140
1734736,1737140
1734692,1737140
1734646,1737140
1734676,1737140
1734678,1737140
1734650,1737140
1734680,1737140
1734946,1737140
1734740,1737140
1734726,1737140
1734724,1737140
1734718,1737140
1734706,1737140
1734662,1737140
1734698,1737140
1734756,1737140
1734752,1737140
1737638,1737140
1734918,1737140
1737628,1737140
1734912,1737140
1734754,1737140
1734748,1737140
1734746,1737140
1734916,1737140
1737630,1737140
1737650,1737140
1737646,1737140
